,user_id,num_movies_rated,avg_rating,rating_std,high_rated_movies,low_rated_movies,avg_sentiment,avg_review_length
23264,ur23818742,13.0,7.0,1.5275252316519468,6.0,1.0,0.15331067071226465,315.61538461538464
23265,ur2381959,3.0,9.333333333333334,1.1547005383792517,3.0,0.0,0.08797297480238812,297.6666666666667
23266,ur23820108,1.0,4.0,0.0,0.0,1.0,0.06842105263157895,170.0
23267,ur23820538,1.0,7.0,0.0,0.0,0.0,0.15724999999999997,175.0
23268,ur2382060,1.0,8.0,0.0,1.0,0.0,0.2071566731141199,402.0
23269,ur23823663,1.0,5.0,0.0,0.0,0.0,0.1522435897435897,142.0
23270,ur2382545,27.0,6.37037037037037,1.8635810883711157,7.0,4.0,0.14866062497346008,446.25925925925924
23271,ur2382577,4.0,7.5,1.7320508075688772,1.0,0.0,0.21905902401996152,182.5
23272,ur23826008,1.0,7.0,0.0,0.0,0.0,0.21381172839506174,123.0
23273,ur23827409,1.0,10.0,0.0,1.0,0.0,-0.028703703703703707,181.0
23274,ur23828426,1.0,10.0,0.0,1.0,0.0,0.1590909090909091,278.0
23275,ur23830698,1.0,6.0,0.0,0.0,0.0,0.13703703703703704,313.0
23276,ur23831210,1.0,8.0,0.0,1.0,0.0,0.24724274767378213,268.0
23277,ur23832550,1.0,6.0,0.0,0.0,0.0,0.30357142857142855,105.0
23278,ur2383591,3.0,10.0,0.0,3.0,0.0,0.3004761904761905,210.0
23279,ur2383695,1.0,8.0,0.0,1.0,0.0,0.045,132.0
23280,ur2383998,1.0,7.0,0.0,0.0,0.0,0.12413419913419911,320.0
23281,ur23840683,1.0,10.0,0.0,1.0,0.0,-0.005729166666666674,150.0
23282,ur2384430,1.0,9.0,0.0,1.0,0.0,0.2283701975108225,276.0
23283,ur2384556,1.0,8.0,0.0,1.0,0.0,-0.09045454545454547,120.0
23284,ur23846862,1.0,7.0,0.0,0.0,0.0,0.40130208333333334,63.0
23285,ur23847349,3.0,7.666666666666667,2.0816659994661326,1.0,0.0,0.11188511599834348,272.3333333333333
23286,ur2384796,1.0,7.0,0.0,0.0,0.0,0.3451477832512316,191.0
23287,ur23848777,5.0,8.4,1.51657508881031,3.0,0.0,0.24293280423280422,83.0
23288,ur23848990,1.0,8.0,0.0,1.0,0.0,0.08947802197802199,416.0
23289,ur23849089,1.0,2.0,0.0,0.0,1.0,0.16990740740740742,170.0
